Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pole_Link2,-1.66298552560336,-1.16558934125296,0.272855989302842,0,0,0,2.54130116480907,0.0216956936840439,-1.30597302510636E-10,1.44749479629731E-09,0.0498035616213382,1.58861263091639E-09,0.0317513462387992,0,0,0,0,0,0,package://Site/meshes/pole_Link2.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/pole_Link2.STL,,信号架-2,坐标系1,基准轴2,pole2,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_Link2,-1.5043,-1.175,0.41197,0,0,0,0.91165,0.00031148,8.8193E-08,6.2745E-08,0.00038644,2.4513E-06,0.00028727,0,0,0,0,0,0,package://Site/meshes/camera_Link2.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/camera_Link2.STL,,相机组件-14/摄像头-新-2;相机组件-14/摄像头前背壳-2-1;相机组件-14/摄像头背壳-2-1;相机组件-14/相机插槽座-3;相机组件-14/USB转接头-2,坐标系1,基准轴2,camerra2,fixed,0,0,0,0,0,0,pole_Link2,0,0,0,,,,,,,,,,,,
Radar_Link2,-1.4836,-1.1912,0.50574,0,0,0,3.0955,0.0023398,-3.6526E-05,-5.7769E-06,0.0072624,1.0124E-06,0.0054186,0,0,0,0,0,0,package://Site/meshes/Radar_Link2.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/Radar_Link2.STL,,毫米波雷达 ARS-408-21-2,坐标系1,基准轴2,Radar2,fixed,0,0,0,0,0,0,pole_Link2,0,0,0,,,,,,,,,,,,
pole_Link3,1.00398903567553,-0.239879473088964,0.220104212276089,0,0,0,2.00698309045887,0.0216511943934799,-2.64278402115405E-10,-6.46346644279585E-10,0.0214364747662529,1.26366532946229E-09,0.0033842830502478,0,0,0,0,0,0,package://Site/meshes/pole_Link3.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/pole_Link3.STL,,信号架2-3,坐标系1,基准轴2,pole3,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_Link3,0.999696725402223,-0.250587757322949,0.390152115634034,0,0,0,2.83520512559704,0.0022626909191116,8.81930983644589E-08,-6.27451277673933E-08,0.00261649976507747,-0.000107874310248531,0.00131191144917134,0,0,0,0,0,0,package://Site/meshes/camera_Link3.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/camera_Link3.STL,,相机组件-13/信号灯-绿-1;相机组件-13/信号灯-红-1;相机组件-13/灯罩-1;相机组件-13/摄像头背壳-2-1;相机组件-13/摄像头前背壳-2-1;相机组件-13/相机插槽座-3;相机组件-13/USB转接头-2,坐标系1,基准轴2,camera3,fixed,0,0,0,0,0,0,pole_Link3,0,0,0,,,,,,,,,,,,
Radar_Link3,1.00358493786181,-0.213865595325845,0.503456445375522,0,0,0,3.09545763589522,0.00233952324153942,6.43560712858864E-06,5.76780928333135E-06,0.00726270749670221,-1.06274664763535E-06,0.00541858260532216,0,0,0,0,0,0,package://Site/meshes/Radar_Link3.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/Radar_Link3.STL,,毫米波雷达 ARS-408-21-1,坐标系1,基准轴2,Radar3,fixed,0,0,0,0,0,0,pole_Link3,0,0,0,,,,,,,,,,,,
pole_Link4,0.00422989196206984,-0.999401188590838,0.0350566037735849,0,0,0,0.690723723880245,0.00127388339482052,-1.11016027905324E-19,-1.49847001923188E-19,0.000564478432796648,2.76056552189904E-20,0.00106406170560551,0,0,0,0,0,0,package://Site/meshes/pole_Link4.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/pole_Link4.STL,,360-1/信号架3-1,坐标系1,基准轴2,pole4,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
RS_Lidar_16_Link_4,-0.716154162323718,-1.71615416232372,0.242073684561546,0,0,0,7393.55350963914,1437.34231642692,615.19476853179,7.81108966496327E-13,1437.34231642692,-4.33838119226291E-13,2396.20736896117,0,0,0,0,0,0,package://Site/meshes/RS_Lidar_16_Link_4.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/RS_Lidar_16_Link_4.STL,,360-1/激光雷达 RS-LiDAR-16-1,坐标系1,基准轴2,RS_Lidar_16_4,fixed,0,0,0,0,0,0,pole_Link4,0,0,0,,,,,,,,,,,,
camera_Link4,0.00422989196206995,-0.999401188590838,0.13436894027334,0,0,0,3.64661960673362,0.00139584378813762,-8.13866313413374E-19,-1.05880677633652E-19,0.00139584378813762,6.02227190608007E-19,0.00114909391436785,0,0,0,0,0,0,package://Site/meshes/camera_Link4.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/camera_Link4.STL,,360-1/相机模块-1/摄像头-新-2;360-1/相机模块-1/摄像头前背壳-2-1;360-1/相机模块-1/摄像头背壳-2-1;360-1/相机模块-1/相机插槽座-3;360-1/相机模块-1/USB转接头-2;360-1/相机模块-2/摄像头背壳-2-1;360-1/相机模块-2/摄像头前背壳-2-1;360-1/相机模块-2/摄像头-新-2;360-1/相机模块-2/相机插槽座-3;360-1/相机模块-2/USB转接头-2;360-1/相机模块-4/摄像头背壳-2-1;360-1/相机模块-4/摄像头前背壳-2-1;360-1/相机模块-4/摄像头-新-2;360-1/相机模块-4/相机插槽座-3;360-1/相机模块-4/USB转接头-2;360-1/相机模块-3/摄像头-新-2;360-1/相机模块-3/摄像头前背壳-2-1;360-1/相机模块-3/摄像头背壳-2-1;360-1/相机模块-3/相机插槽座-3;360-1/相机模块-3/USB转接头-2,坐标系1,基准轴2,camera4,fixed,0,0,0,0,0,0,pole_Link4,0,0,0,,,,,,,,,,,,
CPU_Link4,0.21258,-0.99062,0.02669,0,0,0,6.0548,0.0089514,-6.1285E-18,5.8763E-18,0.010263,6.1799E-20,0.017079,0,0,0,0,0,0,package://Site/meshes/CPU_Link4.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/CPU_Link4.STL,,计算平台-4,坐标系1,基准轴2,CPU4,fixed,0,0,0,0,0,0,pole_Link4,0,0,0,,,,,,,,,,,,
pillar_Link,0.00775673503764316,1.70795913509253,0.188421452183391,0,0,0,640.460641155592,8.47049489803464,-7.45815238967656E-15,1.76436162601795E-14,35.6601185511319,1.84250835982244E-15,30.5768288553375,0,0,0,0,0,0,package://Site/meshes/pillar_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/pillar_Link.STL,,高架立柱-1,坐标系1,基准轴2,pillar,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
overhead_Link,-0.434458299133697,1.45286339292765,0.322807860147149,0,0,0,635.067693626879,810.84728424871,-223.780967174228,6.1139702793823,740.765801766099,-49.6134074750206,1538.10463751846,0,0,0,0,0,0,package://Site/meshes/overhead_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/overhead_Link.STL,,高架路面-1,坐标系1,基准轴2,overhead,fixed,0,0,0,0,0,0,pillar_Link,0,0,0,,,,,,,,,,,,
bar_Link,-0.426616566503017,1.37270408838889,0.358987548531946,0,0,0,66.3264544887281,92.514302711021,-23.5948908858284,0.771934827741396,79.5120405259754,-6.6768123317286,170.067426221949,0,0,0,0,0,0,package://Site/meshes/bar_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/bar_Link.STL,,高架护栏-1,坐标系1,基准轴2,bar,fixed,0,0,0,0,0,0,overhead_Link,0,0,0,,,,,,,,,,,,
