Wall time,Step,Value
1656513851.7375379,1,0.43648606538772583
1656513851.8413837,2,0.40741193294525146
1656513851.9285455,3,0.47700467705726624
1656513852.0265105,4,0.4287058413028717
1656513852.1201205,5,0.43647056818008423
1656513852.2201047,6,0.4241805970668793
1656513852.4220278,7,0.3334727883338928
1656513852.634819,8,0.4478500485420227
1656513852.8403378,9,0.4449611306190491
1656513853.0384421,10,0.40825626254081726
1656513853.2477064,11,0.3441076874732971
1656513853.4499981,12,0.4118187129497528
1656513853.8735127,14,0.42202818393707275
1656513854.0789208,15,0.4032978415489197
1656513854.2869406,16,0.336897075176239
1656513854.4884043,17,0.39011675119400024
1656513854.6909137,18,0.46732184290885925
1656513854.8990927,19,0.3716791868209839
1656513855.1032891,20,0.3391176760196686
1656513855.3115675,21,0.4083830416202545
1656513855.5138524,22,0.38799113035202026
1656513855.7167766,23,0.4742249846458435
1656513855.9233549,24,0.48519062995910645
1656513856.348523,26,0.4540485143661499
1656513856.5617433,27,0.46270516514778137
1656513856.7718885,28,0.5140900015830994
1656513856.9839509,29,0.4920192062854767
1656513857.1855938,30,0.5001106262207031
1656513857.3954237,31,0.4766974151134491
1656513857.5994687,32,0.43754133582115173
1656513857.8051202,33,0.46159783005714417
1656513858.0122867,34,0.4535503089427948
1656513858.2145362,35,0.36891958117485046
1656513858.4239287,36,0.35018429160118103
1656513858.6276624,37,0.35594072937965393
1656513858.8328395,38,0.3530091941356659
1656513859.0398095,39,0.3311757743358612
1656513859.2454293,40,0.3691082298755646
1656513859.4633539,41,0.4038084149360657
1656513859.8742006,43,0.42832300066947937
1656513860.084298,44,0.46743834018707275
1656513860.2925444,45,0.4443593919277191
1656513860.501287,46,0.4268311858177185
1656513860.7079034,47,0.45330163836479187
1656513860.9145052,48,0.45887938141822815
1656513861.1231313,49,0.4482269585132599
1656513861.331065,50,0.42428815364837646
1656513861.5354028,51,0.42572543025016785
1656513861.738247,52,0.521184504032135
1656513861.9418483,53,0.3745638430118561
1656513862.1424382,54,0.3910196125507355
1656513862.347257,55,0.3665405809879303
1656513862.550097,56,0.35932841897010803
1656513862.755173,57,0.2955472767353058
1656513862.956708,58,0.31705546379089355
1656513863.162957,59,0.3332456648349762
1656513863.5768833,61,0.32630211114883423
1656513863.7740276,62,0.371719092130661
1656513863.9758213,63,0.3963295519351959
1656513864.1825163,64,0.3564477264881134
1656513864.6040208,66,0.40786224603652954
1656513864.828298,67,0.4237082302570343
1656513865.0346608,68,0.38979265093803406
1656513865.2408655,69,0.4623144268989563
1656513865.4453921,70,0.5913410782814026
1656513865.6491756,71,0.5593756437301636
1656513865.875417,72,0.3879280090332031
1656513866.0711682,73,0.5435324311256409
1656513866.2769995,74,0.40908336639404297
1656513866.483721,75,0.4107993543148041
1656513866.687983,76,0.44928306341171265
1656513866.8995976,77,0.4478073716163635
1656513867.1180954,78,0.4076504707336426
1656513867.3250597,79,0.46815216541290283
1656513867.5329103,80,0.46639347076416016
1656513867.744782,81,0.4606557786464691
1656513867.9457824,82,0.6213927865028381
1656513868.150613,83,0.4143661558628082
1656513868.3502398,84,0.5190469622612
1656513868.5573773,85,0.4931926131248474
1656513868.7593603,86,0.5200298428535461
